,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2023,Cellular Response To Hypoxia (GO:0071456),5/72,8.851303967813062e-07,0.00020439595513129408,0,0,33.72455902306648,470.0370821844591,EGLN3;BNIP3;AK4;MGARP;NDRG1
1,GO_Biological_Process_2023,Cellular Response To Decreased Oxygen Levels (GO:0036294),5/73,9.484731096579772e-07,0.00020439595513129408,0,0,33.2269385026738,460.80488589003227,EGLN3;BNIP3;AK4;MGARP;NDRG1
