,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,KEGG_2019_Mouse,Axon guidance,23/180,5.3125532448235225e-05,0.0137595129040929,0,0,2.739752567398159,26.966981525804215,SEMA5A;EPHB6;SEMA6B;ROBO2;SEMA6C;EPHA7;SEMA3C;SEMA4D;SEMA3D;LRRC4;PIK3R1;SEMA3F;SEMA4G;ROBO1;RGMA;NTN3;EFNA1;CXCL12;EFNA2;SLIT2;EPHA1;EPHB3;PLXNA3
1,KEGG_2019_Mouse,Protein digestion and absorption,14/90,0.00019457162077514257,0.0251970248903809,0,0,3.4292196007259528,29.301687811742273,CPB1;MME;COL24A1;COL14A1;ELN;COL11A1;ATP1B2;SLC8A1;COL3A1;SLC7A8;XPNPEP2;COL6A6;COL6A5;COL9A2
2,KEGG_2019_Mouse,Complement and coagulation cascades,13/88,0.0005445188685002693,0.0470101289805232,0,0,3.223727034120735,24.228268569138773,C4BP;C1RA;CFH;PROS1;CLU;C4B;C3;VTN;C1S2;F8;C8G;C1S1;SERPING1
