,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
94,GO_Biological_Process_2023,Regulation Of Cell Population Proliferation (GO:0042127),61/766,2.9977898955254953e-05,0.0009335767288669896,0,0,1.828571195390479,19.044660701541773,TES;TFRC;CDCA7L;FLT4;KIF14;HMGB2;LAMC2;GLI1;FOXM1;ETS1;RERG;MYC;RPS6KA2;GPER1;TIMP1;FBXO5;HRAS;KCNH1;BOK;EDN1;MYOCD;NGF;TENT5B;ADRA2A;GNL3;CDC25B;EREG;NME1;GREM1;HCK;SAPCD2;BIRC5;SINHCAF;SLC25A5;KIF20B;EEF1E1;HBEGF;UHRF1;CDCA7;PDGFA;TTK;GPNMB;GCNT2;E2F7;TGFB2;TGFB3;LIF;CDC7;CDC6;INHBA;SHCBP1;FOSL1;SQLE;FABP3;IL6;MYO1C;PRC1;FABP7;FGFR3;EZH2;CDKN3
95,GO_Biological_Process_2023,Positive Regulation Of G2/M Transition Of Mitotic Cell Cycle (GO:0010971),7/21,3.0105262334978506e-05,0.0009335767288669896,0,0,10.322860238353195,107.46934251393184,RRM1;CCNB1;CDK1;CDC7;FBXO5;CDC25C;CDC25B
96,GO_Biological_Process_2023,Recombinational Repair (GO:0000725),15/95,3.110851335965552e-05,0.0009547427244504586,0,0,3.8913934426229506,40.38499413326011,GEN1;BLM;MCM8;XRCC2;RPA1;RPA2;BRCA1;BRCA2;RAD54B;RAD51AP1;RECQL4;MMS22L;RAD51;RBBP8;AUNIP
97,GO_Biological_Process_2023,Supramolecular Fiber Organization (GO:0097435),32/316,3.20603663354477e-05,0.0009739154140880388,0,0,2.357163022679507,24.391663633724495,KRT80;KIF14;LMOD1;THSD4;CORO1C;RND1;CNN1;STMN1;MYH11;TPPP;TGFB2;RIPK3;TPM4;ACTN1;TPM2;KRT7;MYO5A;KIF24;SERPINB8;MYO19;GREM1;KRT19;KIF18A;COL2A1;KIF18B;MYO1C;COL5A3;CCDC88C;CORO6;TAGLN2;KIF2C;MYL9
98,GO_Biological_Process_2023,Positive Regulation Of Cell Population Proliferation (GO:0008284),43/483,3.709011664980455e-05,0.0011153260329946,0,0,2.052603259198524,20.940986910832425,CDCA7L;FLT4;LEF1;KIF14;PDGFA;TTK;LAMC2;GLI1;FOXM1;RASSF10;MYC;GPER1;GCNT2;PIM1;TIMP1;FBXO5;HRAS;EDN1;TGFB2;TGFB3;LIF;HMGA2;SOX11;CDC7;ADRA2A;CDC25B;EREG;NME1;FOSL1;CCNA2;GREM1;HCK;IL6;SAPCD2;PRC1;BIRC5;SINHCAF;SLC25A5;KIF20B;NES;FGFR3;EZH2;HBEGF
99,GO_Biological_Process_2023,Positive Regulation Of DNA-templated DNA Replication (GO:2000105),5/10,4.456642249476376e-05,0.0013267423976691,0,0,20.61081081081081,206.4900231623337,CDT1;DBF4;CDC7;E2F7;E2F8
100,GO_Biological_Process_2023,Cellular Response To Radiation (GO:0071478),10/48,5.8791657961883565e-05,0.0017328986708171,0,0,5.443935926773455,53.03215945211737,RAD51AP1;BARD1;BLM;DEPDC1B;OPN3;RAD51;FIGNL1;BRCA1;BRCA2;ECT2
101,GO_Biological_Process_2023,Regulation Of Mitotic Cytokinesis (GO:1902412),4/6,6.463148457172446e-05,0.0018863522506865,0,0,41.183585313174945,397.2901768649596,INCENP;BIRC5;CDCA8;AURKB
102,GO_Biological_Process_2023,Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071),10/49,7.081884640662378e-05,0.0020468709296361,0,0,5.304069119286511,50.68242462569179,CDC20;CENPE;CCNB1;ESPL1;DUSP1;UBE2C;PLK1;FBXO5;CDC6;DLGAP5
103,GO_Biological_Process_2023,Histone H2A Ubiquitination (GO:0033522),5/11,7.857333905967688e-05,0.0021653096027932,0,0,17.174774774774775,162.32700789294825,BARD1;DEPDC1B;RAD51;BRCA1;BRCA2
