,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
81,Reactome_2022,Transcription Of E2F Targets Under Negative Control By DREAM Complex R-HSA-1362277,6/19,0.0001601298629507784,0.0022437708845176,0,0,9.51898101898102,83.19137666872209,TOP2A;PCNA;RBL1;MYC;CDC6;LIN9
82,Reactome_2022,Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942,13/87,0.0001836548466406815,0.0025424026360258,0,0,3.6391877155235934,31.305939080748047,PLK4;BORA;PLK1;HAUS6;TUBG1;TUBB4B;TUBA4A;AURKA;CCNB2;CCNB1;HAUS8;CDK1;NEK2
83,Reactome_2022,COPI-dependent Golgi-to-ER Retrograde Traffic R-HSA-6811434,12/78,0.00024346398957375348,0.0033302395716695,0,0,3.7639136462665874,31.317799745630474,CENPE;KIF18A;KIF18B;RACGAP1;KIFC1;KIF23;KIF2C;KIF11;KIF22;KIF20A;KIF20B;KIF15
84,Reactome_2022,PCNA-Dependent Long Patch Base Excision Repair R-HSA-5651801,6/21,0.00029567412284562723,0.0039968184370544,0,0,8.24891774891775,67.03278968747578,RFC5;PCNA;RFC4;POLD1;POLE2;POLE
85,Reactome_2022,TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116,5/14,0.0003028965022661582,0.0040468381523699,0,0,11.448048048048047,92.7534520389482,CCNA2;CCNE2;CCNE1;E2F7;E2F8
86,Reactome_2022,DNA Damage Bypass R-HSA-73893,9/48,0.0003193436749348632,0.0042175388793121,0,0,4.768479077925332,38.38264533281051,RFC5;PCNA;RFC4;POLD1;POLE2;PCLAF;POLE;DTL;RAD18
87,Reactome_2022,Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328,7/31,0.00045313010384511224,0.005916437378614,0,0,6.018508486818346,46.33849058386148,TUBA1C;TUBB6;TUBB2B;TUBB3;CHMP4C;TUBB4B;TUBA4A
88,Reactome_2022,Post-chaperonin Tubulin Folding Pathway R-HSA-389977,6/23,0.0005078915924464125,0.0065569375249542,0,0,7.277692895339954,55.20306569806696,TUBA1C;TUBB2B;TUBB6;TUBB3;TUBB4B;TUBA4A
89,Reactome_2022,Termination Of Translesion DNA Synthesis R-HSA-5656169,7/32,0.0005569624623489411,0.0071105541026548,0,0,5.777464788732394,43.29061711006847,RFC5;PCNA;RFC4;POLD1;POLE2;PCLAF;POLE
90,Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,31/354,0.0005733944854166433,0.0072398930081727,0,0,2.001387850966158,14.938232075456645,BLM;PCNA;BRCA1;AURKB;AURKA;BRIP1;CCNB1;EXO1;CHEK1;RBBP8;TOPBP1;E2F7;E2F8;BARD1;FANCI;RFC5;RFC4;TXNRD1;CDC25C;CCNA2;TPX2;RBL1;CCNE2;CCNE1;FANCD2;RRAGD;CDK1;CYCS;BIRC5;DNA2;CDK5R1
91,Reactome_2022,Transcription Of E2F Targets Under Negative Control By P107 (RBL1) And P130 (RBL2) In Complex With HDAC1 R-HSA-1362300,5/16,0.0006114282766439943,0.0076362074985211,0,0,9.365601965601966,69.30276568645148,CCNA2;RBL1;CDK1;MYBL2;LIN9
92,Reactome_2022,Nuclear Envelope Breakdown R-HSA-2980766,9/53,0.0006855813138352815,0.0084702465548036,0,0,4.225496002368967,30.783767058420633,NDC1;CCNB2;CCNB1;NUP107;PLK1;CDK1;VRK1;LPIN3;LMNB1
93,Reactome_2022,Mitotic Prophase R-HSA-68875,14/112,0.0006937632066708364,0.0084801481326041,0,0,2.9588271990018713,21.52067414791344,NDC1;H2AZ1;NUP107;PLK1;NCAPG2;VRK1;MASTL;SMC4;LMNB1;CCNB2;CCNB1;CDK1;NCAPD3;LPIN3
94,Reactome_2022,Smooth Muscle Contraction R-HSA-445355,8/43,0.000721330923629437,0.0087243076973707,0,0,4.718933994422064,34.138715299109634,ACTA2;TPM4;TPM2;DYSF;LMOD1;MYH11;MYL9;ACTG2
95,Reactome_2022,Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814,11/76,0.0007446325604162133,0.0089123209574815,0,0,3.499707039424123,25.20705875700696,CDC20;PSMD8;CCNA2;CCNB1;UBE2C;UBE2S;PLK1;CDK1;BUB1B;NEK2;MAD2L1
96,Reactome_2022,Transcriptional Regulation By E2F6 R-HSA-8953750,7/34,0.0008209354958040793,0.0095504392573392,0,0,5.348942658801814,38.00459072497289,RRM2;RAD51;CHEK1;RBBP8;CDC7;BRCA1;EZH2
97,Reactome_2022,Gap-filling DNA Repair Synthesis And Ligation In GG-NER R-HSA-5696397,6/25,0.0008228838002407201,0.0095504392573392,0,0,6.510936431989063,46.24519927214149,RFC5;PCNA;RFC4;POLD1;POLE2;POLE
98,Reactome_2022,Resolution Of AP Sites Via Multiple-Nucleotide Patch Replacement Pathway R-HSA-110373,6/25,0.0008228838002407201,0.0095504392573392,0,0,6.510936431989063,46.24519927214149,RFC5;PCNA;RFC4;POLD1;POLE2;POLE
99,Reactome_2022,APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,6/26,0.0010280831382474,0.0116957180776864,0,0,6.185064935064935,42.55361316538577,CDC20;UBE2C;UBE2S;BUB1B;NEK2;MAD2L1
