gene_id	symbol
CHM13_G0000181	AJAP1
CHM13_G0000182	Z98886.1
CHM13_G0000183	BX005132.1
CHM13_G0000184	LINC02781
CHM13_G0000185	LINC02782
CHM13_G0000186	AL139823.1
CHM13_G0000187	Z98259.3
CHM13_G0000188	Z98259.2
CHM13_G0000189	Z98259.1
CHM13_G0000190	Z97988.2
CHM13_G0000191	AL365255.1
CHM13_G0000192	Z97988.1
CHM13_G0000193	MIR4689
CHM13_G0000194	NPHP4
CHM13_G0000195	KCNAB2
CHM13_G0000196	CHD5
CHM13_G0000197	AL031847.1
CHM13_G0000198	RPL22
CHM13_G0000199	RNF207-AS1
CHM13_G0000200	RNF207
CHM13_G0000201	MSTRG.23
CHM13_G0000202	LINC00337
CHM13_G0000203	HES3
CHM13_G0000204	GPR153
CHM13_G0000205	ACOT7
CHM13_G0000206	AL031848.2
CHM13_G0000207	HES2
CHM13_G0000208	ESPN
CHM13_G0000209	MIR4252
CHM13_G0000210	AL031848.1
CHM13_G0000211	TNFRSF25
CHM13_G0000212	PLEKHG5
CHM13_G0000213	NOL9
CHM13_G0000214	RNU6-731P
CHM13_G0000215	AL591866.1
CHM13_G0000216	TAS1R1
CHM13_G0000217	ZBTB48
CHM13_G0000218	KLHL21
CHM13_G0000219	PHF13
CHM13_G0000220	THAP3
CHM13_G0000221	DNAJC11
CHM13_G0000222	LINC01672
CHM13_G0000223	AL591163.1
CHM13_G0000224	CAMTA1-DT
CHM13_G0000225	CAMTA1
CHM13_G0000226	AL590128.1
CHM13_G0000227	AL512330.1
CHM13_G0000228	RNU1-8P
CHM13_G0000229	CAMTA1-IT1
CHM13_G0000230	CAMTA1-AS2
CHM13_G0000231	CAMTA1-AS1
CHM13_G0000232	AL359881.3
CHM13_G0000233	AL359881.2
CHM13_G0000234	AL359881.1
CHM13_G0000235	MSTRG.29
CHM13_G0000236	Z98884.2
CHM13_G0000237	PER3
CHM13_G0000238	Z98884.1
CHM13_G0000239	UTS2
CHM13_G0000240	TNFRSF9
CHM13_G0000241	AL009183.1
CHM13_G0000242	PARK7
CHM13_G0000243	Y_RNA
CHM13_G0000244	AL034417.4
CHM13_G0000245	AL034417.3
CHM13_G0000246	ERRFI1
CHM13_G0000247	AL034417.2
CHM13_G0000248	AL034417.1
CHM13_G0000249	AL358876.1
CHM13_G0000250	LINC01714
CHM13_G0000251	RNU1-7P
CHM13_G0000252	AL358876.2
CHM13_G0000253	RNU6-991P
CHM13_G0000254	SLC45A1
CHM13_G0000255	AL356072.1
CHM13_G0000256	RERE
CHM13_G0000257	RERE-AS1
