gene_id	symbol
CHM13_G0008569	HSP90AA2P
CHM13_G0008570	AC090159.1
CHM13_G0008571	KIF18A
CHM13_G0008572	MIR610
CHM13_G0008573	METTL15
CHM13_G0008574	AC023206.1
CHM13_G0008575	RN7SKP158
CHM13_G0008576	AC104978.1
CHM13_G0008577	MIR8068
CHM13_G0008578	AC013714.1
CHM13_G0008579	LINC02758
CHM13_G0008580	LINC02742
CHM13_G0008581	AC090791.1
CHM13_G0008582	AC110056.1
CHM13_G0008583	MSTRG.923
CHM13_G0008584	LINC02755
CHM13_G0008585	AC090124.2
CHM13_G0008586	AC090124.1
CHM13_G0008587	AC110058.1
CHM13_G0008588	LINC02546
CHM13_G0008589	HNRNPRP2
CHM13_G0008590	AC107973.1
CHM13_G0008591	RN7SL240P
CHM13_G0008592	RPL7AP58
CHM13_G0008593	LINC01616
CHM13_G0008594	KCNA4
CHM13_G0008595	AL358944.1
CHM13_G0008596	AL358944.2
CHM13_G0008597	FSHB
CHM13_G0008598	ARL14EP
CHM13_G0008599	RPL12P30
CHM13_G0008600	MPPED2
CHM13_G0008601	AL353699.1
CHM13_G0008602	MPPED2-AS1
CHM13_G0008603	AL122014.1
CHM13_G0008604	DCDC1
CHM13_G0008605	CYCSP25
CHM13_G0008606	AL137804.1
CHM13_G0008607	DNAJC24
CHM13_G0008608	IMMP1L
CHM13_G0008609	ELP4
CHM13_G0008610	AC131571.1
CHM13_G0008611	PAX6
CHM13_G0008612	PAUPAR
CHM13_G0008613	AL035078.4
CHM13_G0008614	AL035078.1
CHM13_G0008615	AL035078.3
CHM13_G0008616	AL035078.2
CHM13_G0008617	U3
CHM13_G0008618	EIF4A2P5
CHM13_G0008619	RCN1
CHM13_G0008620	AL078612.1
CHM13_G0008621	THEM7P
CHM13_G0008622	AL078612.2
CHM13_G0008623	WT1
CHM13_G0008624	WT1-AS
CHM13_G0008625	AL049692.6
CHM13_G0008626	AL049692.1
CHM13_G0008627	AL049692.5
CHM13_G0008628	AL049692.3
CHM13_G0008629	AL049692.2
CHM13_G0008630	AL049692.4
CHM13_G0008631	EIF3M
CHM13_G0008632	HNRNPA3P9
CHM13_G0008633	CCDC73
CHM13_G0008634	AL049714.1
CHM13_G0008635	PRRG4
CHM13_G0008636	QSER1
CHM13_G0008637	Y_RNA
CHM13_G0008638	DEPDC7
CHM13_G0008639	TCP11L1
CHM13_G0008640	PIGCP1
CHM13_G0008641	LINC00294
CHM13_G0008642	CSTF3
CHM13_G0008643	CSTF3-DT
CHM13_G0008644	Y_RNA
CHM13_G0008645	RPL29P23
CHM13_G0008646	Y_RNA
CHM13_G0008647	AL136126.1
CHM13_G0008648	HIPK3
CHM13_G0008649	MSTRG.931
CHM13_G0008650	AL137161.1
CHM13_G0008651	AL133399.1
CHM13_G0008652	AL049629.1
CHM13_G0008653	C11orf91
CHM13_G0008654	AL049629.2
CHM13_G0008655	CD59
CHM13_G0008656	FBXO3
CHM13_G0008657	FBXO3-DT
CHM13_G0008658	AC113192.3
CHM13_G0008659	AC113192.2
CHM13_G0008660	LINC02722
CHM13_G0008661	AC113192.1
CHM13_G0008662	LINC02721
CHM13_G0008663	LMO2
CHM13_G0008664	AC132216.1
CHM13_G0008665	AC090469.1
CHM13_G0008666	CAPRIN1
CHM13_G0008667	MSTRG.935
CHM13_G0008668	ABTB2
CHM13_G0008669	Y_RNA
CHM13_G0008670	AL139174.1
CHM13_G0008671	AL035079.1
CHM13_G0008672	CIR1P3
CHM13_G0008673	CAT
CHM13_G0008674	ELF5
CHM13_G0008675	AL137224.1
CHM13_G0008676	LINC02707
CHM13_G0008677	EHF
CHM13_G0008678	AC087783.1
CHM13_G0008679	AL359999.1
CHM13_G0008680	APIP
CHM13_G0008681	PDHX
CHM13_G0008682	MIR1343
CHM13_G0008683	AL356215.1
CHM13_G0008684	CD44
CHM13_G0008685	CD44-AS1
CHM13_G0008686	AL133330.1
CHM13_G0008687	SLC1A2
CHM13_G0008688	AL133330.2
CHM13_G0008689	AC090625.1
CHM13_G0008690	AC090625.2
CHM13_G0008691	PAMR1
CHM13_G0008692	AL135934.1
CHM13_G0008693	FJX1
CHM13_G0008694	AL138812.1
CHM13_G0008695	TRIM44
CHM13_G0008696	AC090692.2
CHM13_G0008697	KRT18P14
CHM13_G0008698	AC090692.3
CHM13_G0008699	AC090692.1
CHM13_G0008700	LDLRAD3
CHM13_G0008701	AL136146.1
CHM13_G0008702	AL136146.2
CHM13_G0008703	RPL12P31
CHM13_G0008704	MIR3973
CHM13_G0008705	AC129502.1
CHM13_G0008706	COMMD9
CHM13_G0008707	PRR5L
CHM13_G0008708	AC087277.1
CHM13_G0008709	AC087277.2
CHM13_G0008710	AC009656.1
CHM13_G0008711	MSTRG.946
CHM13_G0008712	AC061999.1
CHM13_G0008713	RAG1
CHM13_G0008714	RAG2
CHM13_G0008715	IFTAP
CHM13_G0008716	AC104042.1
CHM13_G0008717	AC061997.1
CHM13_G0008718	RPL7AP56
CHM13_G0008719	LINC02760
CHM13_G0008720	AC103798.1
CHM13_G0008721	LRRC6P1
CHM13_G0008722	AC021713.1
CHM13_G0008723	LINC02759
CHM13_G0008724	LINC01493
CHM13_G0008725	AC021723.2
CHM13_G0008726	AC021723.1
CHM13_G0008727	RNU6-99P
CHM13_G0008728	AC021749.1
CHM13_G0008729	AC021820.1
CHM13_G0008730	AC080100.1
CHM13_G0008731	LRRC4C
CHM13_G0008732	Y_RNA
CHM13_G0008733	AC090720.1
CHM13_G0008734	RNU6-365P
CHM13_G0008735	AC090138.1
CHM13_G0008736	LINC02741
CHM13_G0008737	AC021006.1
CHM13_G0008738	AC021006.2
CHM13_G0008739	LINC01499
CHM13_G0008740	AC023442.1
CHM13_G0008741	AC023442.3
CHM13_G0008742	AC023442.2
CHM13_G0008743	LINC02745
CHM13_G0008744	LINC02740
CHM13_G0008745	AC109810.1
CHM13_G0008746	AC009643.2
CHM13_G0008747	AC009643.1
CHM13_G0008748	HNRNPKP3
CHM13_G0008749	API5
CHM13_G0008750	AC087276.2
CHM13_G0008751	Y_RNA
CHM13_G0008752	TTC17
CHM13_G0008753	AC087276.3
CHM13_G0008754	AC087276.1
CHM13_G0008755	RN7SKP287
CHM13_G0008756	PPIAP41
CHM13_G0008757	CTBP2P6
CHM13_G0008758	AC068205.1
CHM13_G0008759	MIR670
CHM13_G0008760	MIR670HG
CHM13_G0008761	AC068205.2
CHM13_G0008762	MIR129-2
CHM13_G0008763	HSD17B12
CHM13_G0008765	AC068205.3
CHM13_G0008764	RPL23AP63
CHM13_G0008766	PHBP2
CHM13_G0008767	AC068205.4
CHM13_G0008768	AC087521.2
CHM13_G0008769	AC087521.4
CHM13_G0008770	ALKBH3
CHM13_G0008771	SEC14L1P1
CHM13_G0008772	ALKBH3-AS1
CHM13_G0008773	AC087521.3
CHM13_G0008774	C11orf96
CHM13_G0008775	AC087521.1
CHM13_G0008776	ACCSL
CHM13_G0008777	ACCS
CHM13_G0008778	AC134775.1
CHM13_G0008779	EXT2
CHM13_G0008780	ALX4
CHM13_G0008781	AC010768.4
CHM13_G0008782	AC010768.3
CHM13_G0008783	CD82
CHM13_G0008784	AC010768.1
CHM13_G0008785	AC010768.2
CHM13_G0008786	RPL34P22
CHM13_G0008787	AC104010.1
CHM13_G0008788	LINC02704
CHM13_G0008789	TSPAN18-AS1
CHM13_G0008790	TSPAN18
CHM13_G0008791	TP53I11
CHM13_G0008792	LINC02685
CHM13_G0008793	AC068858.1
CHM13_G0008794	PRDM11
CHM13_G0008795	AC103681.2
CHM13_G0008796	SYT13
CHM13_G0008797	AC103681.1
CHM13_G0008798	LINC02696
CHM13_G0008799	LINC02687
CHM13_G0008800	AC103855.3
CHM13_G0008801	AC018716.2
CHM13_G0008802	AC018716.1
CHM13_G0008803	AC103855.2
CHM13_G0008804	AC103855.4
CHM13_G0008805	AC103855.1
CHM13_G0008806	CHST1
CHM13_G0008807	AC087442.1
CHM13_G0008808	MIR7154
CHM13_G0008809	AC044839.1
CHM13_G0008810	AC044839.2
CHM13_G0008811	LINC02690
CHM13_G0008812	LINC02716
CHM13_G0008813	SLC35C1
CHM13_G0008814	AC044839.3
CHM13_G0008815	CRY2
CHM13_G0008816	MAPK8IP1
CHM13_G0008817	AC068385.1
CHM13_G0008818	C11orf94
CHM13_G0008819	PEX16
CHM13_G0008820	LARGE2
CHM13_G0008821	PHF21A
CHM13_G0008822	AC024475.1
CHM13_G0008823	AC024475.3
CHM13_G0008824	AC024475.2
CHM13_G0008825	LINC02710
CHM13_G0008826	AC116021.1
CHM13_G0008827	LINC02489
CHM13_G0008828	CREB3L1
CHM13_G0008829	DGKZ
CHM13_G0008830	MIR4688
CHM13_G0008831	MDK
CHM13_G0008832	CHRM4
CHM13_G0008833	AMBRA1
CHM13_G0008834	AC024293.1
CHM13_G0008835	MIR3160-1
CHM13_G0008836	MIR3160-2
CHM13_G0008837	AC127035.1
CHM13_G0008838	HARBI1
CHM13_G0008839	ATG13
CHM13_G0008840	ARHGAP1
CHM13_G0008841	ZNF408
CHM13_G0008842	F2
CHM13_G0008843	CKAP5
CHM13_G0008844	MIR5582
CHM13_G0008845	AC115088.1
CHM13_G0008846	SNORD67
CHM13_G0008847	LRP4-AS1
CHM13_G0008848	LRP4
CHM13_G0008849	AC021573.1
CHM13_G0008850	C11orf49
CHM13_G0008851	AC103792.1
CHM13_G0008852	AC090589.2
CHM13_G0008853	ARFGAP2
CHM13_G0008854	AC090589.3
CHM13_G0008855	PACSIN3
CHM13_G0008856	MIR6745
CHM13_G0008857	AC090589.1
CHM13_G0008858	DDB2
CHM13_G0008859	AC018410.1
CHM13_G0008860	ACP2
CHM13_G0008861	NR1H3
CHM13_G0008862	MADD
CHM13_G0008863	MADD-AS1
CHM13_G0008864	AC090582.1
CHM13_G0008865	MYBPC3
CHM13_G0008866	SPI1
CHM13_G0008867	AC090559.1
CHM13_G0008868	MIR4487
CHM13_G0008869	SLC39A13
CHM13_G0008870	PSMC3
CHM13_G0008871	RAPSN
CHM13_G0008872	CELF1
CHM13_G0008873	AC090559.2
CHM13_G0008874	RN7SL652P
CHM13_G0008875	NDUFS3
CHM13_G0008876	PTPMT1
CHM13_G0008877	KBTBD4
CHM13_G0008878	RNU5E-10P
CHM13_G0008879	KF459542.1
CHM13_G0008880	FAM180B
CHM13_G0008881	C1QTNF4
CHM13_G0008882	MTCH2
CHM13_G0008883	AGBL2
CHM13_G0008884	FNBP4
CHM13_G0008885	Y_RNA
CHM13_G0008886	MSTRG.968
CHM13_G0008887	AC021443.1
CHM13_G0008888	RNA5SP340
CHM13_G0008889	Y_RNA
CHM13_G0008890	YPEL5P2
CHM13_G0008891	AC023232.1
CHM13_G0008892	PTPRJ
CHM13_G0008893	PTPRJ-AS1
CHM13_G0008894	MIR3161
CHM13_G0008895	OR4B1
CHM13_G0008896	OR4B2P
CHM13_G0008897	OR4X2
CHM13_G0008898	OR4X1
CHM13_G0008899	OR4S1
CHM13_G0008900	OR4C3
CHM13_G0008901	OR4C4P
CHM13_G0008902	OR4C5
CHM13_G0008903	OR4C2P
CHM13_G0008904	OR4C10P
CHM13_G0008905	OR4C9P
CHM13_G0008906	OR4R1P
CHM13_G0008907	OR4A47
CHM13_G0008908	OR4A48P
CHM13_G0008909	OR4A46P
CHM13_G0008910	OR4A40P
CHM13_G0008911	OR4A43P
CHM13_G0008912	OR4A45P
CHM13_G0008913	OR4A41P
CHM13_G0008914	OR4A42P
CHM13_G0008915	OR4A44P
CHM13_G0008916	AC027369.6
CHM13_G0008917	AC027369.3
CHM13_G0008918	AC027369.4
CHM13_G0008919	AC027369.5
CHM13_G0008920	TRIM51CP
CHM13_G0008921	AC027369.2
LOFF_G0000413	AC130364.1
LOFF_G0000414	MTND1P35
CHM13_G0008922	TRIM51GP
CHM13_G0008923	TRIM53CP
CHM13_G0008924	AC027369.1
CHM13_G0008925	TRIM49B
LOFF_G0000415	AP004833.3
CHM13_G0008926	AC084851.4
CHM13_G0008927	TRIM64C
CHM13_G0008928	AC084851.3
CHM13_G0008929	AC084851.1
CHM13_G0008930	UBTFL7
CHM13_G0008931	AC084851.2
CHM13_G0008932	AC118273.1
CHM13_G0008933	AC118273.2
CHM13_G0008934	TRIM77BP
LOFF_G0000416	AP003122.6
CHM13_G0008935	UBTFL9
CHM13_G0008936	FOLH1
LOFF_G0000417	AP003400.6
LOFF_G0000418	AP003400.3
CHM13_G0008937	AC118942.1
LOFF_G0000419	AP000720.2
LOFF_G0000420	AP000720.1
CHM13_G0008938	TYRL
CHM13_G0008939	CBX3P8
CHM13_G0008940	AC135977.1
CHM13_G0008941	AC136759.1
LOFF_G0000421	MTND1P35
CHM13_G0008942	AC130364.1
CHM13_G0008943	AC130364.2
CHM13_G0008944	TRIM51FP
CHM13_G0008945	AP006587.5
CHM13_G0008946	AP006587.6
CHM13_G0008947	AP006587.4
LOFF_G0000422	AP006587.1
CHM13_G0008948	AP006587.3
CHM13_G0008949	TRIM51DP
CHM13_G0008950	AP006587.1
LOFF_G0000423	AC130364.1
LOFF_G0000424	AP006587.4
CHM13_G0008951	AP006587.2
CHM13_G0008952	OR4A1P
CHM13_G0008953	OR4A49P
CHM13_G0008954	OR4A18P
CHM13_G0008955	OR4A19P
CHM13_G0008956	OR4R3P
CHM13_G0008957	OR4C13
CHM13_G0008958	OR4C12
CHM13_G0008959	OR4C48P
CHM13_G0008960	OR4C45
CHM13_G0008961	OR4C49P
CHM13_G0008962	GTF2IP11
CHM13_G0008963	AC024405.2
CHM13_G0008964	LINC02750
CHM13_G0008965	AC109635.3
CHM13_G0008966	AC109635.2
CHM13_G0008967	AC109635.5
CHM13_G0008968	AC109635.1
CHM13_G0008969	AC109635.6
CHM13_G0008970	AC109635.7
CHM13_G0008971	AC109635.4
CHM13_G0008972	AC024405.1
CHM13_G0008973	OR4C50P
CHM13_G0008974	OR4C46
CHM13_G0008975	OR4C7P
CHM13_G0008976	OR4R2P
CHM13_G0008977	OR4A4P
CHM13_G0008978	OR4A3P
CHM13_G0008979	OR4A2P
CHM13_G0008980	OR4A8
CHM13_G0008981	OR4A7P
CHM13_G0008982	OR4A5
CHM13_G0008983	OR4A6P
CHM13_G0008984	TRIM48
CHM13_G0008985	AP005597.4
CHM13_G0008986	AP005597.3
CHM13_G0008987	AP005597.2
CHM13_G0008988	TRIM51HP
CHM13_G0008989	AP005597.1
CHM13_G0008990	OR4A11P
CHM13_G0008991	OR4A12P
CHM13_G0008992	OR4A16
CHM13_G0008993	OR4A15
CHM13_G0008994	OR4A9P
CHM13_G0008995	OR4X7P
CHM13_G0008996	OR4A10P
CHM13_G0008997	OR4A17P
CHM13_G0008998	OR4A13P
CHM13_G0008999	OR4A50P
CHM13_G0009000	OR4A21P
CHM13_G0009001	OR4C1P
CHM13_G0009002	OR4C14P
CHM13_G0009003	OR4C15
CHM13_G0009004	OR4C16
CHM13_G0009005	OR4C11
CHM13_G0009006	OR4P4
CHM13_G0009007	OR4S2
CHM13_G0009008	OR4C6
CHM13_G0009009	OR4V1P
CHM13_G0009010	OR4P1P
CHM13_G0009011	AP006437.1
CHM13_G0009012	OR5D2P
CHM13_G0009013	OR5D3P
CHM13_G0009014	OR5D17P
CHM13_G0009015	OR5D13
CHM13_G0009016	OR5D15P
CHM13_G0009017	OR5D14
CHM13_G0009018	OR5L1
CHM13_G0009019	OR5D18
CHM13_G0009020	OR5L2
CHM13_G0009021	OR5D16
CHM13_G0009022	OR9M1P
CHM13_G0009023	AC036111.2
CHM13_G0009024	AC036111.3
CHM13_G0009025	AC036111.1
CHM13_G0009026	TRIM51
CHM13_G0009027	OR5W1P
CHM13_G0009028	OR5W2
CHM13_G0009029	OR5I1
CHM13_G0009030	OR10AF1P
CHM13_G0009031	OR10AK1P
CHM13_G0009032	OR10AG1
CHM13_G0009033	OR7E5P
CHM13_G0009034	OR5F1
CHM13_G0009035	OR5F2P
CHM13_G0009036	OR5AS1
CHM13_G0009037	OR5AQ1P
CHM13_G0009038	OR5J1P
CHM13_G0009039	OR5BE1P
CHM13_G0009040	OR8I2
CHM13_G0009041	OR8I4P
CHM13_G0009042	OR8H2
CHM13_G0009043	OR5BN2P
CHM13_G0009044	OR8H3
CHM13_G0009045	OR5BN1P
CHM13_G0009046	OR8J3
CHM13_G0009047	OR8K4P
CHM13_G0009048	OR8K5
CHM13_G0009049	OR5J7P
CHM13_G0009050	OR5J2
CHM13_G0009051	OR8V1P
CHM13_G0009052	AC022882.1
CHM13_G0009053	OR8J2
CHM13_G0009054	OR5T2
CHM13_G0009055	OR5T3
CHM13_G0009056	OR5T1
CHM13_G0009057	OR8H1
CHM13_G0009058	OR8I1P
CHM13_G0009059	OR8K3
CHM13_G0009060	FAM8A2P
CHM13_G0009061	OR8K2P
CHM13_G0009062	OR8K1
CHM13_G0009063	OR8J1
CHM13_G0009064	RPL5P29
CHM13_G0009065	OR8U1
CHM13_G0009066	OR8L1P
CHM13_G0009067	OR5AL2P
CHM13_G0009068	OR5AL1
CHM13_G0009069	OR5R1
CHM13_G0009070	OR5M4P
CHM13_G0009071	AP002512.3
CHM13_G0009072	OR5M9
CHM13_G0009073	OR5M3
CHM13_G0009074	OR5M2P
CHM13_G0009075	OR5M8
CHM13_G0009076	AP002512.1
CHM13_G0009077	OR5M7P
CHM13_G0009078	AP002512.2
CHM13_G0009079	OR5M6P
CHM13_G0009080	OR5M5P
CHM13_G0009081	OR5M11
CHM13_G0009082	OR5M10
CHM13_G0009083	OR5M13P
CHM13_G0009084	OR5M1
CHM13_G0009085	OR5AM1P
CHM13_G0009086	OR5M12P
CHM13_G0009087	OR5AP1P
CHM13_G0009088	OR5AP2
CHM13_G0009089	OR5AR1
CHM13_G0009090	OR2AH1P
CHM13_G0009091	AP004245.1
LOFF_G0000425	OR9G1
CHM13_G0009092	OR9G1
CHM13_G0009093	AP001803.1
CHM13_G0009094	OR9G3P
CHM13_G0009095	OR9G4
CHM13_G0009096	MIR6128
CHM13_G0009097	AP001803.3
CHM13_G0009098	OR9G2P
CHM13_G0009099	OR5G1P
CHM13_G0009100	OR5G4P
CHM13_G0009101	OR5G5P
CHM13_G0009102	OR5G3
CHM13_G0009103	LINC02735
CHM13_G0009104	FADS2B
CHM13_G0009105	OR5AK3P
CHM13_G0009106	OR5AK2
CHM13_G0009107	OR5AK1P
CHM13_G0009108	OR5BQ1P
CHM13_G0009109	OR5AK4P
CHM13_G0009110	OR5AO1P
CHM13_G0009111	OR5BP1P
CHM13_G0009112	LRRC55
CHM13_G0009113	APLNR
CHM13_G0009114	TNKS1BP1
CHM13_G0009115	AP000781.1
CHM13_G0009116	SSRP1
CHM13_G0009117	P2RX3
CHM13_G0009118	PRG3
CHM13_G0009119	PRG2
CHM13_G0009120	AP000781.2
CHM13_G0009121	SLC43A3
CHM13_G0009122	RNA5SP341
CHM13_G0009123	RN7SKP259
CHM13_G0009124	RTN4RL2
CHM13_G0009125	AP002893.1
CHM13_G0009126	SLC43A1
CHM13_G0009127	RN7SL605P
CHM13_G0009128	TIMM10
CHM13_G0009129	SMTNL1
CHM13_G0009130	UBE2L6
CHM13_G0009131	RPS4XP13
CHM13_G0009132	SERPING1
CHM13_G0009133	AP000662.1
CHM13_G0009134	MIR130A
CHM13_G0009135	YPEL4
CHM13_G0009136	CLP1
CHM13_G0009137	ZDHHC5
CHM13_G0009138	MED19
CHM13_G0009139	AP001931.2
CHM13_G0009140	TMX2
CHM13_G0009141	PPIAP42
CHM13_G0009142	SELENOH
CHM13_G0009143	AP001931.1
CHM13_G0009144	BTBD18
CHM13_G0009145	CTNND1
CHM13_G0009146	OR5BA1P
CHM13_G0009147	AP003484.1
CHM13_G0009148	OR5AZ1P
CHM13_G0009149	OR5BD1P
CHM13_G0009150	CYCSP26
CHM13_G0009151	OR9Q1
CHM13_G0009152	RNU6-899P
CHM13_G0009153	OR6Q1
CHM13_G0009154	VN2R9P
CHM13_G0009155	AP004247.2
CHM13_G0009156	AP004247.1
CHM13_G0009157	OR9L1P
CHM13_G0009158	OR9I3P
CHM13_G0009159	OR9I1
CHM13_G0009160	OR9I2P
CHM13_G0009161	OR5BL1P
CHM13_G0009162	OR9Q2
CHM13_G0009163	OR1S2
CHM13_G0009164	OR1S1
CHM13_G0009165	OR10Q1
CHM13_G0009166	EIF4A2P3
CHM13_G0009167	OR10W1
CHM13_G0009168	OR10Q2P
CHM13_G0009169	OR5BC1P
CHM13_G0009170	OR5B19P
CHM13_G0009171	OR5B10P
CHM13_G0009172	AP000435.1
CHM13_G0009173	OR5B17
CHM13_G0009174	OR5B1P
CHM13_G0009175	OR5B15P
CHM13_G0009176	OR5B3
CHM13_G0009177	OR5B2
CHM13_G0009178	OR5B12
CHM13_G0009179	AP003557.2
CHM13_G0009180	AP003557.1
CHM13_G0009181	OR5B21
CHM13_G0009182	LPXN
CHM13_G0009183	ZFP91
CHM13_G0009184	ZFP91-CNTF
CHM13_G0009185	AP001350.1
CHM13_G0009186	CNTF
CHM13_G0009187	AP001350.2
CHM13_G0009188	GLYAT
CHM13_G0009189	AP000445.1
CHM13_G0009190	AP000445.2
CHM13_G0009191	TMA16P1
CHM13_G0009192	GLYATL2
CHM13_G0009193	GLYATL1P2
CHM13_G0009194	GLYATL1
CHM13_G0009195	AP001652.1
CHM13_G0009196	AP001636.3
CHM13_G0009197	AP001636.2
CHM13_G0009198	GLYATL1P1
CHM13_G0009199	AP001636.1
CHM13_G0009200	GLYATL1P4
CHM13_G0009201	GLYATL1B
CHM13_G0009202	FAM111B
CHM13_G0009203	FAM111A-DT
CHM13_G0009204	AP001258.1
CHM13_G0009205	FAM111A
CHM13_G0009206	DTX4
CHM13_G0009207	MPEG1
CHM13_G0009208	RN7SL42P
CHM13_G0009209	WARS1P1
CHM13_G0009210	SLC25A47P1
CHM13_G0009211	AP002358.1
CHM13_G0009212	AP002358.2
CHM13_G0009213	RN7SL435P
CHM13_G0009214	OR5AN2P
CHM13_G0009215	OR5BR1P
CHM13_G0009216	OR5AN1
CHM13_G0009217	OR5BB1P
CHM13_G0009218	OR5A2
CHM13_G0009219	OR5A1
CHM13_G0009220	OR4D6
CHM13_G0009221	OR4D10
CHM13_G0009222	OR4D8P
CHM13_G0009223	OR4D11
CHM13_G0009224	OR4D9
CHM13_G0009225	OR4D7P
CHM13_G0009226	AP003778.1
CHM13_G0009227	LINC02739
CHM13_G0009228	AP000442.1
CHM13_G0009229	OSBP
CHM13_G0009230	MIR3162
CHM13_G0009231	PATL1
CHM13_G0009232	AP000640.2
CHM13_G0009233	RN7SKP192
CHM13_G0009234	OR10V1
CHM13_G0009235	STX3
CHM13_G0009236	OR10Y1P
CHM13_G0009237	OR10V3P
CHM13_G0009238	OR10V2P
CHM13_G0009239	AP000640.1
CHM13_G0009240	FABP5P7
CHM13_G0009241	MRPL16
CHM13_G0009242	CBLIF
CHM13_G0009243	TCN1
CHM13_G0009244	OOSP3
CHM13_G0009245	SRD5A3P1
CHM13_G0009246	OOSP1
CHM13_G0009247	AP000790.1
CHM13_G0009248	OOSP4A
CHM13_G0009249	OOSP4B
CHM13_G0009250	OOSP2
CHM13_G0009251	MS4A3
CHM13_G0009252	AP000790.2
CHM13_G0009253	MS4A2
CHM13_G0009254	LINC02705
CHM13_G0009255	MS4A6A
CHM13_G0009256	MS4A4A
CHM13_G0009257	MS4A4E
CHM13_G0009258	MIR6503
CHM13_G0009259	MS4A6E
CHM13_G0009260	MS4A7
CHM13_G0009261	MS4A14
CHM13_G0009262	MS4A5
CHM13_G0009263	MS4A1
CHM13_G0009264	MS4A12
CHM13_G0009265	MS4A13
CHM13_G0009266	MS4A19P
CHM13_G0009267	LINC00301
CHM13_G0009268	MS4A8
CHM13_G0009269	MS4A18
CHM13_G0009270	MS4A15
CHM13_G0009271	MS4A10
CHM13_G0009272	AP000777.1
CHM13_G0009273	AP000777.2
CHM13_G0009274	AP000777.3
CHM13_G0009275	CCDC86
CHM13_G0009276	PTGDR2
CHM13_G0009277	ZP1
CHM13_G0009278	PRPF19
CHM13_G0009279	AP003721.4
CHM13_G0009280	AP003721.3
CHM13_G0009281	TMEM109
CHM13_G0009282	AP003721.1
CHM13_G0009283	TMEM132A
CHM13_G0009284	SLC15A3
CHM13_G0009285	CD6
CHM13_G0009286	RNU6-933P
CHM13_G0009287	AP003721.2
CHM13_G0009288	CD5
CHM13_G0009289	VPS37C
CHM13_G0009290	AP000437.1
CHM13_G0009291	PGA3
CHM13_G0009292	PGA4
CHM13_G0009293	AP003037.1
CHM13_G0009294	PGA5
CHM13_G0009295	VWCE
CHM13_G0009296	DDB1
CHM13_G0009297	TKFC
CHM13_G0009298	CYB561A3
CHM13_G0009299	AP003108.3
CHM13_G0009300	TMEM138
CHM13_G0009301	TMEM216
CHM13_G0009302	CPSF7
CHM13_G0009303	AP003108.4
CHM13_G0009304	AP003108.2
CHM13_G0009305	SDHAF2
CHM13_G0009306	RN7SL23P
CHM13_G0009307	PPP1R32
CHM13_G0009308	AP003108.1
CHM13_G0009309	MIR4488
CHM13_G0009310	LRRC10B
CHM13_G0009311	SYT7
CHM13_G0009312	AP003108.5
CHM13_G0009313	AP003559.1
CHM13_G0009314	AP002754.1
CHM13_G0009315	RPLP0P2
CHM13_G0009316	AP002754.2
CHM13_G0009317	DAGLA
CHM13_G0009318	MYRF-AS1
CHM13_G0009319	MYRF
CHM13_G0009320	TMEM258
CHM13_G0009321	MIR611
CHM13_G0009322	FEN1
CHM13_G0009323	FADS2
CHM13_G0009324	FADS1
CHM13_G0009325	MIR1908
CHM13_G0009326	FADS3
CHM13_G0009327	MIR6746
CHM13_G0009328	RAB3IL1
CHM13_G0009329	RNU6-1243P
CHM13_G0009330	BEST1
CHM13_G0009331	FTH1
CHM13_G0009332	AP003733.3
CHM13_G0009333	AP003733.1
CHM13_G0009334	LINC02733
CHM13_G0009335	AP003733.2
CHM13_G0009336	AP002793.1
CHM13_G0009337	INCENP
CHM13_G0009338	EEF1DP8
CHM13_G0009339	SCGB1D1
CHM13_G0009340	SCGB2A1
CHM13_G0009341	AP003306.1
CHM13_G0009342	SCGB1D2
CHM13_G0009343	SCGB2A2
CHM13_G0009344	SCGB1D4
CHM13_G0009345	NPM1P35
CHM13_G0009346	AP003306.2
CHM13_G0009347	ASRGL1
CHM13_G0009348	RCC2P6
CHM13_G0009349	AP003064.1
CHM13_G0009350	SCGB1A1
CHM13_G0009351	AP003064.2
CHM13_G0009352	AHNAK
CHM13_G0009353	AP001363.1
CHM13_G0009354	AP001363.2
CHM13_G0009355	EEF1G
CHM13_G0009356	AP002990.1
CHM13_G0009357	MIR6747
CHM13_G0009358	TUT1
CHM13_G0009359	MTA2
CHM13_G0009360	EML3
CHM13_G0009361	AP001458.1
CHM13_G0009362	ROM1
CHM13_G0009363	B3GAT3
CHM13_G0009364	GANAB
CHM13_G0009365	INTS5
CHM13_G0009366	AP001458.2
CHM13_G0009368	C11orf98
CHM13_G0009367	LBHD1
CHM13_G0009369	CSKMT
CHM13_G0009370	SNORA57
CHM13_G0009371	UQCC3
CHM13_G0009372	UBXN1
CHM13_G0009373	LRRN4CL
CHM13_G0009374	BSCL2
CHM13_G0009375	HNRNPUL2-BSCL2
CHM13_G0009376	GNG3
CHM13_G0009377	HNRNPUL2
CHM13_G0009378	TTC9C
CHM13_G0009379	ZBTB3
CHM13_G0009380	POLR2G
CHM13_G0009381	AP001160.2
CHM13_G0009382	TAF6L
CHM13_G0009383	TMEM223
CHM13_G0009384	AP001160.3
CHM13_G0009385	TMEM179B
CHM13_G0009386	MIR6748
CHM13_G0009387	NXF1
CHM13_G0009388	MIR6514
CHM13_G0009389	STX5
CHM13_G0009390	AP001160.4
CHM13_G0009391	RNU6-118P
CHM13_G0009392	AP001160.1
