,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,Reactome_2022,Interferon Alpha/Beta Signaling R-HSA-909733,5/72,3.131996823250256e-07,6.827753074685557e-05,0,0,42.41577825159915,635.236717013736,OAS2;IRF7;ISG15;USP18;IFIT3
1,Reactome_2022,Interferon Signaling R-HSA-913531,5/200,4.7089537616019095e-05,0.0045701900112967,0,0,14.47985347985348,144.26943679538044,OAS2;IRF7;ISG15;USP18;IFIT3
2,Reactome_2022,Cytokine Signaling In Immune System R-HSA-1280215,8/702,6.289252309123987e-05,0.0045701900112967,0,0,6.9402017291066285,67.14008944558933,OAS2;MMP3;IRF7;ISG15;FOS;FGF13;USP18;IFIT3
3,Reactome_2022,Antiviral Mechanism By IFN-stimulated Genes R-HSA-1169410,3/83,0.0006094699830789859,0.025241689192326,0,0,20.14864864864865,149.15885135550718,OAS2;ISG15;USP18
4,Reactome_2022,Triglyceride Catabolism R-HSA-163560,2/23,0.0009608374667470638,0.025241689192326,0,0,49.97243107769424,347.1937238822558,FABP3;FABP4
5,Reactome_2022,MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,3/102,0.0011094189470398,0.025241689192326,0,0,16.266175266175267,110.67373686638165,IRF7;FOS;USP18
6,Reactome_2022,Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164,3/103,0.0011411245869409,0.025241689192326,0,0,16.102702702702704,109.1077432847508,IRF7;FOS;USP18
7,Reactome_2022,Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181,3/103,0.0011411245869409,0.025241689192326,0,0,16.102702702702704,109.1077432847508,IRF7;FOS;USP18
8,Reactome_2022,Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138,3/106,0.0012396633877259,0.025241689192326,0,0,15.6313303594857,104.61917164998862,IRF7;FOS;USP18
9,Reactome_2022,Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807,3/107,0.0012736632161265,0.025241689192326,0,0,15.48024948024948,103.18914651686472,MMP3;FOS;FGF13
10,Reactome_2022,MyD88-independent TLR4 Cascade R-HSA-166166,3/107,0.0012736632161265,0.025241689192326,0,0,15.48024948024948,103.18914651686472,IRF7;FOS;USP18
11,Reactome_2022,Triglyceride Metabolism R-HSA-8979227,2/37,0.0024849910419855,0.0429438789963987,0,0,29.96240601503759,179.69911732131763,FABP3;FABP4
12,Reactome_2022,Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,3/140,0.0027442876968701,0.0429438789963987,0,0,11.731899782994674,69.19748700315135,IRF7;FOS;USP18
13,Reactome_2022,NGF-stimulated Transcription R-HSA-9031628,2/39,0.0027578637887595,0.0429438789963987,0,0,28.339971550497868,167.01592283916753,ID1;FOS
