,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
0,GO_Biological_Process_2023,Defense Response To Virus (GO:0051607),6/189,1.9326808113074947e-06,0.0007923991326360729,0,0,19.071359691417552,250.9142985457279,OAS2;IRF7;ISG15;DDX60;USP18;IFIT3
1,GO_Biological_Process_2023,Defense Response To Symbiont (GO:0140546),5/148,1.107321812727607e-05,0.0022700097160915,0,0,19.797202797202797,225.90550787073107,OAS2;IRF7;ISG15;DDX60;IFIT3
2,GO_Biological_Process_2023,Positive Regulation Of Interferon-Beta Production (GO:0032728),3/36,5.0544718638741474e-05,0.0069077782139613,0,0,48.96068796068796,484.3510523721575,OAS2;IRF7;ISG15
3,GO_Biological_Process_2023,Regulation Of Interferon-Beta Production (GO:0032648),3/50,0.00013608554044552048,0.0139487678956658,0,0,34.35250143760782,305.8137622456798,OAS2;IRF7;ISG15
4,GO_Biological_Process_2023,Positive Regulation Of Type I Interferon Production (GO:0032481),3/64,0.0002837268518273068,0.0232656018498391,0,0,26.449712007089055,216.02798504664472,OAS2;IRF7;ISG15
5,GO_Biological_Process_2023,Negative Regulation Of Type I Interferon-Mediated Signaling Pathway (GO:0060339),2/15,0.0004028203034890469,0.0275260540717515,0,0,80.75708502024291,631.279748139968,ISG15;USP18
6,GO_Biological_Process_2023,Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560),3/96,0.0009308846411021168,0.049242920170787,0,0,17.320836965998257,120.8886199109921,ID1;ANKRD1;FOS
7,GO_Biological_Process_2023,Long-Chain Fatty Acid Transport (GO:0015909),2/23,0.0009608374667470638,0.049242920170787,0,0,49.97243107769424,347.1937238822558,FABP3;FABP4
