,C_1,C_2,T_6_1,T_6_2,T_24_1,T_24_2,T_72_1,T_72_2
Hspe1-ps1,0,0,0,4,0,0,0,0
Lamp3,2,10,2,9,7,4,2,11
Dusp5,605,361,925,730,336,372,185,183
Gm37996,0,0,0,0,0,0,0,0
Gm18639,0,0,0,0,0,0,0,0
Gm6425,12,8,6,13,8,2,3,2
C3,274,158,184,193,105,116,873,836
Rasl11b,255,168,145,157,200,164,397,441
Gm48391,0,0,0,0,0,0,0,0
Tmem88,18,20,17,22,8,18,24,16
Gm47727,0,0,0,0,0,0,0,0
Utp25,707,387,538,469,460,485,365,424
Gm10826,0,0,0,0,0,0,0,0
Gm52953,0,0,0,0,0,0,0,0
4930442G15Rik,0,0,0,0,0,0,0,0
Rbm34,968,678,707,732,688,620,522,615
Gm42883,0,0,0,0,0,0,0,0
Gm7769,0,0,0,0,0,0,0,0
Atxn7l1os2,0,0,0,2,0,0,0,4
Hip1r,521,362,437,384,420,358,237,220
Bst1,0,6,2,0,3,4,2,6
Gm45781,0,0,0,0,0,0,0,0
Gm44698,6,6,4,2,10,4,2,2
Cers5,4342,3083,2872,2922,3115,3062,2650,2430
Atp6ap2,7831,5406,4659,5182,5237,5362,3226,3205
Gabrg1,0,0,0,0,0,0,0,0
Olfr748,0,0,0,0,0,0,0,0
Gm5374,3,0,0,0,2,0,3,2
Gm45441,2,0,0,0,0,0,0,0
Slc25a13,794,487,639,580,470,510,234,219
Jund,2464,1842,1548,1532,1662,1813,1821,2283
Klf5,233,141,161,125,99,109,41,73
Gm44220,4,2,0,2,8,2,3,4
Gm16015,0,0,0,0,0,0,0,0
Cntnap1,198,139,99,110,138,124,301,283
Sgtb,437,341,265,292,317,375,295,322
Sirt4,217,123,126,93,115,151,157,204
Gm21063,0,0,0,0,0,0,0,0
Gm14369,0,0,0,0,0,0,0,0
Gm20421,0,0,0,0,0,0,0,0
Gm48281,0,0,0,0,0,0,0,0
Gm45646,0,0,0,0,0,0,0,0
6720469O03Rik,4,4,6,0,6,4,2,0
Gm12337,11,17,4,8,5,7,0,6
G730013B05Rik,8,4,6,4,4,4,2,5
Cdk5r2,4,4,2,0,4,6,2,6
Gm7638,4,0,0,2,1,4,2,0
Hhex,6,0,2,10,4,3,8,4
Camk4,18,12,22,2,20,26,42,30
Hnrnph1,8383,5679,6216,5905,6928,6855,4078,4777
Unc45a,2866,2150,2241,2178,1991,2079,1298,1507
Ccdc92b,0,6,2,6,7,4,6,8
Gm14258,0,0,0,0,0,0,0,0
