,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,qvalue,-log(pvalue),-log(qvalue),BaseMean,log2(BaseMean),log2FC,abs(log2FC),sig
Fn1,1091383.5952491153,0.2687663323626642,0.036704264240017444,7.322482494272073,2.4342508001898586e-13,1.98283803275329e-11,1.98283803275329e-11,12.61363467855983,10.70271275949834,1091383.5952491153,20.057728154839182,0.2687663323626642,0.2687663323626642,sig
Col1a1,946066.4080870715,0.06163464091860145,0.035601004018594014,1.7312613117992501,0.08340516839147342,0.34919352668514086,0.34919352668514086,1.0788070364803692,0.4569338157997463,946066.4080870715,19.851583454881297,0.06163464091860145,0.06163464091860145,normal
Col1a2,731195.217227773,0.1648235122915579,0.03396519363820377,4.852718169289804,1.217806957582527e-06,3.9304637493512604e-05,3.9304637493512604e-05,5.914421549060386,4.405556204865767,731195.217227773,19.47989908121019,0.1648235122915579,0.1648235122915579,sig
Thbs1,619158.3075827976,-0.27772045549727836,0.02936868303796028,-9.456346923636746,3.1888956325466018e-21,5.303310597793473e-19,5.303310597793473e-19,20.496359694288184,18.275452936909787,619158.3075827976,19.239951132163288,-0.27772045549727836,0.27772045549727836,sig
Bgn,337714.282977212,0.09371119974790214,0.03328944730061739,2.81504222349057,0.004877082556378794,0.04953196482619141,0.04953196482619141,2.3118398928652106,1.3051144441506337,337714.282977212,18.36544794302274,0.09371119974790214,0.09371119974790214,sig
Sparc,368646.80897509115,0.10683785888487517,0.031115716611524777,3.4335657513124445,0.0005956977051188454,0.009215612817949683,0.009215612817949683,3.22497407298516,2.035475779858387,368646.80897509115,18.491883656904534,0.10683785888487517,0.10683785888487517,sig
Col3a1,303373.04806802596,-0.0368178177591451,0.029254729630568615,-1.258525312798438,0.20820183868718223,0.570944514082827,0.570944514082827,0.6815154394356115,0.24340609560446758,303373.04806802596,18.21073815090859,-0.0368178177591451,0.0368178177591451,normal
Acta2,314529.8271671638,-0.708631322593511,0.03540746125098582,-20.01361570575132,4.191174824201198e-89,1.2546281836246285e-85,1.2546281836246285e-85,88.37766422329825,84.90148496081656,314529.8271671638,18.26284189701566,-0.708631322593511,0.708631322593511,sig
Eef1a1,262120.46536933625,-0.032339188001348725,0.028929594170608235,-1.1178583360220293,0.26362750185938766,0.6368117222643349,0.6368117222643349,0.5790092857216054,0.19598895081709017,262120.46536933625,17.999875976572653,-0.032339188001348725,0.032339188001348725,normal
mt-Co1,202239.95163896482,0.2865400085675501,0.14195988893041867,2.018457542665429,0.043543631692140095,0.2369961117644025,0.2369961117644025,1.3610753520959906,0.6252587791085309,202239.95163896482,17.62571563164034,0.2865400085675501,0.2865400085675501,normal
Col5a2,214976.60242412583,0.04373128108028047,0.028861724131381238,1.5151998848444268,0.1297217922452981,0.4501827320247068,0.4501827320247068,0.8869870597148666,0.3466111675545376,214976.60242412583,17.713826833996425,0.04373128108028047,0.04373128108028047,normal
Lox,195123.93653278158,0.08662426354875827,0.03396237270594567,2.5505951630285617,0.010753916096455863,0.09061744640321076,0.09061744640321076,1.9684333562714327,1.0427881803892365,195123.93653278158,17.574038637382564,0.08662426354875827,0.08662426354875827,normal
Col12a1,197580.10601184895,0.23819620382938192,0.09885072479578208,2.409655612758296,0.015967585012236926,0.12279501800349898,0.12279501800349898,1.7967607629578521,0.9108192528811716,197580.10601184895,17.592085468088793,0.23819620382938192,0.23819620382938192,normal
Col5a1,197344.00271198148,0.23450868230459235,0.028956301218965013,8.098709863917295,5.554507796284381e-16,6.15830336599159e-14,6.15830336599159e-14,15.255354419320494,13.210538920997777,197344.00271198148,17.59036046134493,0.23450868230459235,0.23450868230459235,sig
Col4a1,191413.1755039979,-0.04316047837959127,0.030790975418286577,-1.401724946782898,0.16099739810857117,0.5028137826493773,0.5028137826493773,0.793181142578218,0.29859282635892737,191413.1755039979,17.546338149464706,-0.04316047837959127,0.04316047837959127,normal
Col6a3,167333.87796271185,0.03466092139634897,0.03963848481740354,0.8744259917102296,0.3818863077830912,0.7377713212963429,0.7377713212963429,0.4180659126160769,0.1320782307096751,167333.87796271185,17.352378655135883,0.03466092139634897,0.03466092139634897,normal
Spp1,152285.762394838,-0.6852796357314264,0.03482078353083304,-19.680189997006426,3.188050129037363e-86,7.634742449018678e-83,7.634742449018678e-83,85.49647485835712,82.11720560888348,152285.762394838,17.21643101470364,-0.6852796357314264,0.6852796357314264,sig
Flna,165302.3670713402,-0.2618905759953829,0.03039248518571621,-8.616951670621052,6.876013953887459e-18,9.047625393829497e-16,9.047625393829497e-16,17.16266325064552,15.043465389156946,165302.3670713402,17.334756585683202,-0.2618905759953829,0.2618905759953829,sig
Fbn1,147020.03792960927,0.374937146606378,0.11699991130472993,3.2045934259714306,0.0013525338711690771,0.01822586502101395,0.01822586502101395,2.8688518501565987,1.7393118503933631,147020.03792960927,17.165663086267553,0.374937146606378,0.374937146606378,sig
Eef2,147428.59835282477,0.021579644174156667,0.03125848236840592,0.6903612248292642,0.48996705461734824,0.8123750959365953,0.8123750959365953,0.3098331209488617,0.09024339873731238,147428.59835282477,17.169666667188178,0.021579644174156667,0.021579644174156667,normal
Vim,154145.1730360051,0.10396296243320773,0.03049878511488624,3.408757497768793,0.0006525946344232001,0.009979780526926435,0.009979780526926435,3.1853565012652383,2.0008790095135156,154145.1730360051,17.233939546752396,0.10396296243320773,0.10396296243320773,sig
Actb,132746.69812852016,-0.49365388560619006,0.03725639413590565,-13.250178849982523,4.501292736136873e-40,2.2457699676042884e-37,2.2457699676042884e-37,39.34666274232595,36.64863473022789,132746.69812852016,17.018327319064273,-0.49365388560619006,0.49365388560619006,sig
Fbln2,140096.99625405757,-0.028695343872189017,0.012979949641998449,-2.210743852144172,0.027053579971954154,0.1754977847616648,0.1754977847616648,1.5677752570198702,0.7557283610890798,140096.99625405757,17.09607679626545,-0.028695343872189017,0.028695343872189017,normal
Col4a2,138035.51065524435,-0.04222862988404366,0.029414585289545124,-1.4356357388133245,0.1511060196154072,0.4857800534165038,0.4857800534165038,0.8207182343129856,0.3135603217025471,138035.51065524435,17.074690384734055,-0.04222862988404366,0.04222862988404366,normal
Lrp1,119876.79764049404,0.11997062021199496,0.1253972650447874,0.9567243764777945,0.3387063910114241,0.7028891379498773,0.7028891379498773,0.47017660862608407,0.15311316797214947,119876.79764049404,16.871204958877048,0.11997062021199496,0.11997062021199496,normal
Aebp1,118619.72200393415,-0.17211458161787774,0.03169598465256429,-5.43016989390021,5.630042873655151e-08,2.3990794793290666e-06,2.3990794793290666e-06,7.249488297915802,5.619955364011216,118619.72200393415,16.8559965325578,-0.17211458161787774,0.17211458161787774,sig
Myh9,123224.59842981356,-0.18159498135481036,0.03244612014719051,-5.596816523239514,2.183235420430835e-08,9.864928650656159e-07,9.864928650656159e-07,7.660899431363044,6.005906051490186,123224.59842981356,16.910942461732244,-0.18159498135481036,0.18159498135481036,sig
Postn,89744.6441464534,-0.03796801295778793,0.03308696906448507,-1.14752163861821,0.25116609525587275,0.6221538731753795,0.6221538731753795,0.6000389861015413,0.20610219086151163,89744.6441464534,16.453554298197552,-0.03796801295778793,0.03796801295778793,normal
Serpine1,110187.61940468596,-0.4795646479543283,0.03813120865854772,-12.576696748552347,2.8364423337723714e-36,1.0955987259545283e-33,1.0955987259545283e-33,35.54722604142381,32.96034848144841,110187.61940468596,16.749615700376015,-0.4795646479543283,0.4795646479543283,sig
Serpinh1,113918.51674065713,0.05899719711915104,0.030187034424360954,1.9543886388369527,0.05065527327334186,0.2616679215595321,0.2616679215595321,1.295375337385518,0.5822495152034289,113918.51674065713,16.797655405792874,0.05899719711915104,0.05899719711915104,normal
Igfbp5,64842.755462178065,0.32976967447336775,0.03224449537113767,10.22716189779628,1.4984649864991644e-24,3.1478280260247357e-22,3.1478280260247357e-22,23.82435340043129,21.501989002294113,64842.755462178065,15.98468002731059,0.32976967447336775,0.32976967447336775,sig
Nedd4,89268.8602288608,-0.010067241535030625,0.031138223130404222,-0.32330815707980115,0.7464618770019982,0.9304741323362404,0.9304741323362404,0.1269923674840928,0.031295695977370155,89268.8602288608,16.44588554663248,-0.010067241535030625,0.010067241535030625,normal
Fstl1,85077.15971559606,0.043809905549696,0.031254313526688504,1.4017234936958733,0.16099783219289399,0.5028137826493773,0.5028137826493773,0.7931799716265495,0.29859282635892737,85077.15971559606,16.376501206948912,0.043809905549696,0.043809905549696,normal
mt-Cytb,82704.76751289217,0.2670521120806077,0.13195186511296397,2.023860078461069,0.04298455053541273,0.2353075860615905,0.2353075860615905,1.3666876100682313,0.6283640714147962,82704.76751289217,16.335700319249693,0.2670521120806077,0.2670521120806077,normal
Hspg2,90293.96672191125,0.14259701124038457,0.10308128878336792,1.3833452503689736,0.16655902941296707,0.5120132844773045,0.5120132844773045,0.778431818584144,0.2907187708594372,90293.96672191125,16.462357949894326,0.14259701124038457,0.14259701124038457,normal
Cald1,87871.54314374045,-0.2613381276150517,0.030101482427894306,-8.681902236578091,3.892039013963083e-18,5.178141683688218e-16,5.178141683688218e-16,17.409822814995678,15.285826070625337,87871.54314374045,16.423124827531012,-0.2613381276150517,0.2613381276150517,sig
Itgb1,90757.83619966134,0.012894298173814525,0.03827912135301503,0.33684937684179406,0.7362304486645994,0.9262728420984959,0.9262728420984959,0.13298622517573674,0.033261069080077005,90757.83619966134,16.469750489003264,0.012894298173814525,0.012894298173814525,normal
Ccn2,84436.87627691377,-0.768253416490469,0.03115118943600116,-24.66208932627802,2.730218052509751e-134,1.6345815480375882e-130,1.6345815480375882e-130,133.56380266606547,129.78659340791978,84436.87627691377,16.365602673022597,-0.768253416490469,0.768253416490469,sig
Serpinf1,78879.21727137371,0.015211185823422246,0.03143498654871745,0.483893505087021,0.628461450023581,0.8868987894872866,0.8868987894872866,0.2017213568889323,0.05212593786287288,78879.21727137371,16.267375905097698,0.015211185823422246,0.015211185823422246,normal
Tpm1,78914.36980816134,-0.5541787075312319,0.03635600816491574,-15.243112088032404,1.829447906249936e-52,1.369113076839796e-49,1.369113076839796e-49,51.737679952589126,48.86356068143539,78914.36980816134,16.268018691024427,-0.5541787075312319,0.5541787075312319,sig
Csf1,74201.14070712778,-0.03612088203942141,0.03542026915099737,-1.019779999001061,0.3078328109849894,0.678856019086028,0.678856019086028,0.5116850918785268,0.16822232696704276,74201.14070712778,16.17917318826894,-0.03612088203942141,0.03612088203942141,normal
Col6a1,75324.44308416235,-0.07093741384710743,0.031175780415029157,-2.275401382186733,0.022881862542630554,0.15755458429296046,0.15755458429296046,1.6405086276471652,0.8025689558402117,75324.44308416235,16.200849633707637,-0.07093741384710743,0.07093741384710743,normal
Calu,80053.59509992097,0.050364159319292015,0.03244605876285304,1.5522427450249554,0.1206041518250067,0.43236949519539825,0.43236949519539825,0.9186377412534664,0.3641449542553649,80053.59509992097,16.288696594753247,0.050364159319292015,0.050364159319292015,normal
Tnc,78595.16487805189,0.007018954047523629,0.030488200215817326,0.23021870749465181,0.8179218257647107,0.9551106822225864,0.9551106822225864,0.08728820276071339,0.01994629763802677,78595.16487805189,16.26217129704092,0.007018954047523629,0.007018954047523629,normal
Ccdc80,82483.88911783864,-0.10029623684698699,0.032181173261072074,-3.1166121891618612,0.001829420568543329,0.023178222384244777,0.023178222384244777,2.737686442363334,1.6349198745983353,82483.88911783864,16.331842227495713,-0.10029623684698699,0.10029623684698699,sig
mt-Nd5,68087.8992985116,0.3165482345055471,0.12311098797594969,2.571242743721513,0.010133427101528605,0.0867937454318337,0.0867937454318337,1.9942436524114313,1.0615115700114277,68087.8992985116,16.05513199082067,0.3165482345055471,0.3165482345055471,normal
