,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,qvalue,-log(pvalue),-log(qvalue),BaseMean,log2(BaseMean),log2FC,abs(log2FC),sig
Fn1,1254854.7271704222,0.7008937173607108,0.07775444904876572,9.014194376467476,1.9832272593955859e-19,3.481952745323195e-18,3.481952745323195e-18,18.702627516835374,17.458177127125822,1254854.7271704222,20.25909007400978,0.7008937173607108,0.7008937173607108,sig
Col1a1,1032094.5367115955,0.3886706889677808,0.059564119801975554,6.52524859361541,6.788884079730375e-11,6.349118309383468e-10,6.349118309383468e-10,10.16820160684531,9.19728658021283,1032094.5367115955,19.977145090434817,0.3886706889677808,0.3886706889677808,sig
Col1a2,849440.8577958907,0.6342644724149106,0.06004995671908412,10.562280259118634,4.457012094472269e-26,1.077277811175136e-24,1.077277811175136e-24,25.3509561874181,23.967672285279523,849440.8577958907,19.696155676301622,0.6342644724149106,0.6342644724149106,sig
Thbs1,814219.9642128285,0.5709248461291953,0.06542221072375835,8.726773978028557,2.6204004501077268e-18,4.33693708067983e-17,4.33693708067983e-17,17.58163233464107,16.362816878453444,814219.9642128285,19.635060842287263,0.5709248461291953,0.5709248461291953,sig
Bgn,439755.8874048598,0.8382706858528822,0.05858969014183788,14.307477711924058,1.965122404085721e-46,1.0698999755577814e-44,1.0698999755577814e-44,45.706610392991685,43.970656822402496,439755.8874048598,18.74634664757924,0.8382706858528822,0.8382706858528822,sig
Sparc,382258.2442836212,0.2992223975494178,0.05810239589699643,5.149914954968078,2.6060459891810213e-07,1.6263899515653075e-06,1.6263899515653075e-06,6.584017924513184,5.7887753175926075,382258.2442836212,18.54419186554774,0.2992223975494178,0.2992223975494178,sig
Col3a1,462923.52529057814,1.084744930235731,0.057265612915674745,18.94234384312011,5.107210193825035e-80,5.775076142248309e-78,5.775076142248309e-78,79.29181626782689,77.23844228538555,462923.52529057814,18.820417471669796,1.084744930235731,1.084744930235731,sig
Acta2,248042.13236693776,-1.6597023996669529,0.061258397908419346,-27.09346728506009,1.175593976333296e-161,4.320307863024863e-159,4.320307863024863e-159,160.92974264789027,158.36448530447007,248042.13236693776,17.920231487957178,-1.6597023996669529,1.6597023996669529,sig
Eef1a1,271033.26224956237,0.16108276944127078,0.05716344972809152,2.8179329660384504,0.004833389964717748,0.014168947739210657,0.014168947739210657,2.3157481639563424,1.8486624015537532,271033.26224956237,18.04811571292779,0.16108276944127078,0.16108276944127078,sig
mt-Co1,224541.27543930287,0.6345982406026673,0.0633868148449795,10.011518044480669,1.356547915360617e-23,2.980350515133312e-22,2.980350515133312e-22,22.867564861681817,21.525732656112915,224541.27543930287,17.776627566729776,0.6345982406026673,0.6345982406026673,sig
Col5a2,209560.80047724565,0.07081668841532418,0.05768087092260518,1.227732648321908,0.21954734624619154,0.35299598178392333,0.35299598178392333,0.6584718080134797,0.4522302382354111,209560.80047724565,17.677016236710244,0.07081668841532418,0.07081668841532418,normal
